word,plural,gender,translation_en,translation_zh,difficulty,search_count
foto,foto's,de,photo,照片,A1,10
astronaut,astronauten,de,astronaut,宇航员,B1,1
aarde,-,de,earth,地球,A1,4
Boeing Starliner,-,de,Boeing Starliner,波音星际客机,A1,1
wereldtoneel,-,het,world platform,世界舞台,B2,1
Chinees,Chinezen,de,chinese,中国人,A2,0
grip,grips,de,control,控制,B2,1
passage,passages,de,Channel or waterway,通道或航道,B2,1
hulp,hulpen,de,help,帮助,A2,0
zorg,zorgen,de,worry,担忧,A2,0
raketcrisis,raketcrisissen,de,rocket crisis,导弹危机,B2,1
Koude Oorlog,-,de,Cold War,冷战,B1,0
Democraat,Democraten,de,Democrats,民主党人,B1,1
kandidaatschap,kandidaatschappen,het,candidacy,候选资格,B2,1
doorbraak,doorbraken,de,breakthroughs,突破,B2,1
zicht,zichten,het,view,视野，前景,B1,1
wisseling,wisselingen,de,change,转变,B2,0
Belasting,belastingen,de,tax,税,B1,1
Kabinet,kabinetten,het,Cabinet,内阁,B1,1
businessmodel,businessmodellen,het,business model,商业模式,B2,1
prijsvechter,prijsvechters,de,price fighters,价格竞争者,B2,1
vrijstelling,vrijstellingen,de,exemption,免税,B2,1
waarde,waarden,de,value,价值,B1,1
invoerrecht,invoerrechten,de,import duties,进口关税,B2,1
zending,zendingen,de,shipments,货运,B2,1
bedrijf,bedrijven,het,company,公司,A2,1
jachthaven,jachthavens,de,marina,游艇码头,B1,0
sloep,sloepen,de,sloops,小船,B1,0
